==91178== NVPROF is profiling process 91178, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-forward
==91178== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==91178== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-forward
==91178== Profiling result:
==91178== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
          2                  gst_requested_throughput             Requested Global Store Throughput  174.57GB/s  181.90GB/s  180.27GB/s
          2                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                            gld_efficiency                 Global Memory Load Efficiency      96.86%      99.64%      98.25%
          2                            gld_throughput                        Global Load Throughput  181.78GB/s  182.73GB/s  182.52GB/s
          2                            gst_efficiency                Global Memory Store Efficiency     100.00%     100.00%     100.00%
          2                            gst_throughput                       Global Store Throughput  174.57GB/s  181.90GB/s  180.27GB/s
          2                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          2                           global_hit_rate             Global Hit Rate in unified l1/tex      50.23%      51.91%      51.07%
          2                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          2                  l2_tex_read_transactions               L2 Transactions (Texture Reads)      362880     1270476      816678
          2                 l2_tex_write_transactions              L2 Transactions (Texture Writes)      348480     1264716      806598
          2                  shared_load_transactions                      Shared Load Transactions           0           0           0
          2                 shared_store_transactions                     Shared Store Transactions           0           0           0
          2                        tex_cache_hit_rate                        Unified Cache Hit Rate      50.11%      50.99%      50.55%
          2                    tex_cache_transactions                    Unified Cache Transactions      444480     1303116      873798
    Kernel: maxwell_scudnn_128x64_relu_small_nn
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)  4891230208  4891230208  4891230208
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                       FP Instructions(Double)           0           0           0
          1                                inst_fp_32                       FP Instructions(Single)  2462672000  2462672000  2462672000
          1                                inst_fp_16                         HP Instructions(Half)           0           0           0
          1                              inst_integer                          Integer Instructions   318395392   318395392   318395392
