==6767== NVPROF is profiling process 6767, command: python -m graphsage.model --prof-forward
==6767== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6767== Profiling application: python -m graphsage.model --prof-forward
==6767== Profiling result:
==6767== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: void kernelPointwiseApply3<TensorDivOp<float>, float, float, float, unsigned int, int=1, int=1, int=2>(OffsetInfo<TensorDivOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         11                    tex_cache_transactions                                 Unified Cache Transactions      131072     2736128      367895
         11                    dram_read_transactions                            Device Memory Read Transactions       18470      491190       61637
         11                   dram_write_transactions                           Device Memory Write Transactions        9750       40036       15949
    Kernel: void kernelReduceContigDim<float, unsigned int, float, thrust::identity<float>, ReduceAdd<float>, thrust::identity<float>, int=1, int=1>(TensorInfo<float, unsigned int>, TensorInfo<float, unsigned int>, unsigned int, unsigned int, float, float, thrust::identity<float>, float)
         20                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         20                             flop_count_sp                Floating Point Operations(Single Precision)     2692096    26196084    13962653
         20                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         20                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         20                                inst_fp_32                                    FP Instructions(Single)     2823168    26543988    14195843
         20                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         20                              inst_integer                                       Integer Instructions    20690944   169222680    91850138
         20                  gld_requested_throughput                           Requested Global Load Throughput  159.57GB/s  192.28GB/s  186.49GB/s
         20                  gst_requested_throughput                          Requested Global Store Throughput  20.122MB/s  66.153MB/s  25.336MB/s
         20                    shared_load_throughput                              Shared Memory Load Throughput  11.948GB/s  39.278GB/s  15.043GB/s
         20                   shared_store_throughput                             Shared Memory Store Throughput  3.1441GB/s  10.336GB/s  3.9588GB/s
         20                            gld_efficiency                              Global Memory Load Efficiency      81.93%      88.86%      83.53%
         20                            gld_throughput                                     Global Load Throughput  184.03GB/s  234.37GB/s  223.78GB/s
         20                            gst_efficiency                             Global Memory Store Efficiency      12.50%      12.50%      12.50%
         20                            gst_throughput                                    Global Store Throughput  160.98MB/s  529.22MB/s  202.69MB/s
         20                         shared_efficiency                                   Shared Memory Efficiency      37.37%      37.37%      37.37%
         20                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         20                      global_load_requests   Total number of global load requests from Multiprocessor      321536     3234420     1717977
         20                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         20                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         20                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         20                           l2_tex_hit_rate                                          L2 Cache Hit Rate      11.14%      18.07%      16.48%
         20                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)      380928     3940007     2059632
         20                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)        1024        2718        1821
         20                  shared_load_transactions                                   Shared Load Transactions       19456       51642       34614
         20                 shared_store_transactions                                  Shared Store Transactions        5120       13590        9109
         20                        tex_cache_hit_rate                                     Unified Cache Hit Rate      43.62%      48.67%      47.54%
         20                    tex_cache_transactions                                 Unified Cache Transactions      321536     3234420     1717977
         20                    dram_read_transactions                            Device Memory Read Transactions      321112     3252638     1733334
         20                   dram_write_transactions                           Device Memory Write Transactions       23468       25836       25392
    Kernel: void gemmSN_NN_kernel<float, float, float, int=128, int=2, int=4, int=8, int=3, int=4>(cublasGemmSmallNParams<float, float, float>, float const *, float const *, float, float, int)
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)      801792      801792      801792
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)      411648      411648      411648
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions      618496      618496      618496
         10                  gld_requested_throughput                           Requested Global Load Throughput  58.979GB/s  73.444GB/s  67.975GB/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  1.3204GB/s  1.6443GB/s  1.5218GB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  174.30GB/s  217.04GB/s  200.88GB/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  7.9225GB/s  9.8656GB/s  9.1309GB/s
         10                            gld_efficiency                              Global Memory Load Efficiency     100.00%     100.00%     100.00%
         10                            gld_throughput                                     Global Load Throughput  58.979GB/s  73.444GB/s  67.975GB/s
         10                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
