==10627== NVPROF is profiling process 10627, command: python -m graphsage.model --prof-backprop
==10627== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10627== Profiling application: python -m graphsage.model --prof-backprop
==10627== Profiling result:
==10627== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         10                              inst_integer                                       Integer Instructions        2058        2058        2058
         10                  gld_requested_throughput                           Requested Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  2.2282MB/s  2.5364MB/s  2.4018MB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                            gld_efficiency                              Global Memory Load Efficiency       0.00%       0.00%       0.00%
         10                            gld_throughput                                     Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         10                            gst_efficiency                             Global Memory Store Efficiency      12.50%      12.50%      12.50%
         10                            gst_throughput                                    Global Store Throughput  17.826MB/s  20.291MB/s  19.218MB/s
         10                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         10                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         10                      global_load_requests   Total number of global load requests from Multiprocessor           0           0           0
         10                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         10                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         10                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         10                           l2_tex_hit_rate                                          L2 Cache Hit Rate       0.00%       0.00%       0.00%
         10                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)           0           0           0
         10                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)           1           1           1
         10                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         10                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         10                        tex_cache_hit_rate                                     Unified Cache Hit Rate       0.00%       0.00%       0.00%
         10                    tex_cache_transactions                                 Unified Cache Transactions           0           0           0
         10                    dram_read_transactions                            Device Memory Read Transactions          52         840         319
         10                   dram_write_transactions                           Device Memory Write Transactions           9          17          13
    Kernel: maxwell_sgemm_64x64_tt
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)    16809984    16809984    16809984
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)     8413440     8413440     8413440
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions      624800      786976      702985
         10                  gld_requested_throughput                           Requested Global Load Throughput  10.198GB/s  11.662GB/s  11.308GB/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  58.590MB/s  66.996MB/s  64.959MB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  79.536GB/s  90.948GB/s  88.182GB/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  21.876GB/s  25.015GB/s  24.254GB/s
         10                            gld_efficiency                              Global Memory Load Efficiency      90.32%      90.55%      90.44%
         10                            gld_throughput                                     Global Load Throughput  11.291GB/s  12.879GB/s  12.502GB/s
         10                            gst_efficiency                             Global Memory Store Efficiency      96.50%      96.50%      96.50%
         10                            gst_throughput                                    Global Store Throughput  60.715MB/s  69.426MB/s  67.315MB/s
         10                         shared_efficiency                                   Shared Memory Efficiency      50.35%      50.35%      50.35%
         10                           global_hit_rate                          Global Hit Rate in unified l1/tex       5.96%       8.89%       7.20%
         10                      global_load_requests   Total number of global load requests from Multiprocessor       18744       18944       18874
         10                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         10                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         10                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         10                           l2_tex_hit_rate                                          L2 Cache Hit Rate       3.36%       6.49%       5.06%
         10                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)       17316       17864       17602
         10                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)         100         100         100
         10                  shared_load_transactions                                   Shared Load Transactions       33536       33536       33536
         10                 shared_store_transactions                                  Shared Store Transactions        9224        9224        9224
         10                        tex_cache_hit_rate                                     Unified Cache Hit Rate      50.11%      51.61%      50.82%
         10                    tex_cache_transactions                                 Unified Cache Transactions       18788       19048       18910
         10                    dram_read_transactions                            Device Memory Read Transactions       16857       51867       23290
         10                   dram_write_transactions                           Device Memory Write Transactions         966        3447        3017
    Kernel: void kernelPointwiseApply2<TensorAddOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
         27                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         27                             flop_count_sp                Floating Point Operations(Single Precision)         384       64000       26922
         27                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         27                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         27                                inst_fp_32                                    FP Instructions(Single)         384       64000       26922
         27                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         27                              inst_integer                                       Integer Instructions        8192     1280000      538624
         27                  gld_requested_throughput                           Requested Global Load Throughput  1.4420GB/s  92.734GB/s  62.113GB/s
         27                  gst_requested_throughput                          Requested Global Store Throughput  738.33MB/s  46.367GB/s  31.056GB/s
         27                    shared_load_throughput                              Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         27                   shared_store_throughput                             Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         27                            gld_efficiency                              Global Memory Load Efficiency     100.00%     100.00%     100.00%
