Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Global Memory Store Efficiency(%),HP Instructions(Half),Unified Cache Transactions,Floating Point Operations(Double Precision),Floating Point Operations(Single Precision),Global Hit Rate in unified l1/tex(%),Local Hit Rate(%),L2 Transactions (Texture Reads),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Global Load Throughput(bytes/sec),L2 Transactions (Texture Writes),Global Store Throughput(bytes/sec),Unified Cache Hit Rate(%),Shared Memory Efficiency(%),FP Instructions(Single),FP Instructions(Double),Integer Instructions,Shared Store Transactions,Shared Load Transactions,Floating Point Operations(Half Precision),Shared Memory Load Throughput(bytes/sec),Shared Memory Store Throughput(bytes/sec),Global Memory Load Efficiency(%)
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIffE5applyERNS_6TensorERKS6_EUlRfRKfE_ffjLi1ELi2ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",120,453233,11,0,0,100,0,829938,0,0,33.939,0,4444351,58596000000,58596000000,468773000000,829938,58596000000,37.151,0,6639502,0,332210203,0,0,0,0,0,12.5
"void sgemm_largek_lds64<bool=0, bool=1, int=5, int=5, int=4, int=4, int=4, int=32>(float*, float const *, float const *, int, int, int, int, int, int, float const *, float const *, float, float, int, int, int*, int*)",10,466210,39,4228,0,28.362,0,3947420,0,955670528,57.618,0,2775545,147907000000,1286000000,448442000000,66120,4537000000,57.104,130.755,478302208,0,90665943,932360,11186496,0,3071298000000,255982000000,32.983
"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)",20,537737,32,256,0,12.5,0,7282,0,87440,0.186,0,36884,432000000,0,2194000000,5,0,0.186,98.704,58316,0,350250,1823,1853,0,440000000,433000000,19.891
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE0_EEviT1_",40,560674,15,0,0,100,0,1659876,0,13279005,54.831,0,1772718,88087000000,47367000000,101175000000,829938,47367000000,53.184,0,6639502,0,325336120,0,0,0,0,0,91.944
"_ZN2at4cuda74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a321kernelPointwiseApply2IZN74_GLOBAL__N__50_tmpxft_0000d15e_00000000_9_Copy_compute_70_cpp1_ii_dd3fb9a36CopyOpIilE5applyERNS_6TensorERKS6_EUlRiRKlE_iljLi1ELi1ELi1EEEvNS0_6detail10TensorInfoIT0_T2_EENSF_IT1_SH_EESH_T_",120,660915,8,0,0,100,0,2930851,0,0,23.34,0,6056327,141904000000,141904000000,425714000000,2930851,141904000000,36.393,0,0,0,539277417,0,0,0,0,0,37.5
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_16gpu_unary_kernelIZNS0_17gpu_binary_kernelIZNS0_15div_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS6_RKT_EUllE0_EEvS6_SA_EUliE_EEviT1_",120,876876,23,0,0,100,0,5861702,0,0,0,0,5861701,213911000000,213911000000,213911000000,5861701,213911000000,0,0,23446803,0,2527759522,0,0,0,0,0,100
"sgemm_32x32x32_NN",40,1000993,153,16912,0,87.273,0,14051290,0,5204575296,82.386,0,12966401,444771000000,26531000000,2073262000000,1033782,33047000000,76.402,144.834,2688261696,0,334576512,7863480,13979520,0,1787601000000,1005525000000,21.917
"_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIlEEvRNS_14TensorIteratorEN3c106ScalarEEUlllE_EEvS5_RKT_EUliE_EEviT1_",120,1295451,18,0,0,94.444,0,11723404,0,0,14.583,0,12089758,289588000000,144794000000,298638000000,6228057,153843000000,17.5,0,0,0,867532185,0,0,0,0,0,97.059
"_ZN2at6native13reduce_kernelILi512ENS0_8ReduceOpIlZNS0_15sum_kernel_implIllEEvRNS_14TensorIteratorEEUlllE_EEEEvT0_",60,1534374,32,0,0,100,0,14654255,0,0,29.167,50,15386966,244495000000,122247000000,259776000000,8792552,122247000000,31.25,0,0,0,2368140612,0,0,0,0,0,94.118
"_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15mul_kernel_implIlEEvRNS_14TensorIteratorEEUlllE_EEvS5_RKT_EUliE0_EEviT1_",60,1750395,19,0,0,100,0,23446808,0,0,25,0,13188828,221019000000,214321000000,241112000000,11723402,214321000000,15,0,0,0,3001191386,0,0,0,0,0,91.667
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int, int*>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::equal_to<long>, int*, int, thrust::cuda_cub::cub::ScanTileState<int, bool=1>, unsigned long>(thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, long, thrust::equal_to<long>, int, int*, thrust::cuda_cub::__unique_by_key::UniqueByKeyAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, thrust::device_ptr<long>, thrust",60,1771084,64,0,2576,99.074,0,15079098,0,0,11.884,0,14201406,229003000000,212480000000,265506000000,11869948,214466000000,6.866,97.854,0,0,860926858,6594478,6740994,0,487185000000,476596000000,86.252
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>, long*, long>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1, thrust::detail::integral_constant<bool, bool=1>, thrust::cuda_cub::__merge_sort::MergeAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>>)",840,1787575,72,0,16912,100,0,13188876,0,0,25.789,0,12577630,210683000000,209864000000,225155000000,11723402,209864000000,16.223,43.023,0,0,1152422275,8792834,24102389,0,1725859000000,629613000000,93.719
"sgemm_32x32x32_TN",10,2562787,153,16912,0,100,0,26558124,0,9066522752,75.898,0,29703024,329432000000,14000000,1538803000000,1204,14000000,75.897,166.645,4533410944,0,283605248,8858864,17714688,0,884770000000,442460000000,21.408
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__merge_sort::BlockSortAgent<thrust::device_ptr<long>, thrust::device_ptr<long>, long, ThrustLTOp<long>, thrust::detail::integral_constant<bool, bool=1>, thrust::detail::integral_constant<bool, bool=0>>, bool, thrust::device_ptr<long>, thrust::device_ptr<long>, long, long*, long*, ThrustLTOp<long>>(thrust::device_ptr<long>, thrust::device_ptr<long>, long, long, ThrustLTOp<long>, bool, bool=1)",60,6529457,104,0,16912,100,0,12456204,0,0,2.273,0,11815002,57566000000,57454000000,57903000000,11723402,57454000000,1.154,23.519,0,0,4182650323,102605940,218374518,0,4280896000000,2011431000000,99.419
"void csrMmt_hyb_core<float, int=4, int=4>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,7733644,32,3464,0,55.196,0,53124017,0,769168720,49.007,0,55064896,218415000000,1927000000,422244000000,844138,3492000000,48.75,72.463,394019872,0,3334726253,2808860,34084358,0,564131000000,46489000000,51.727
"void csrMmt_hyb_core<float, int=5, int=3>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,10955592,32,3496,0,36.363,0,100031594,0,1534360992,48.679,0,121618741,291158000000,2721000000,672299000000,2562636,7484000000,48.158,98.895,784063296,0,5931320890,2390818,49542154,0,578826000000,27932000000,43.308
"void at::native::apply::coalesceValuesKernel<float, float>(long*, at::native::apply::coalesceValuesKernel<float, float>, float*, float, long, long, long)",60,18754030,32,0,0,12.5,0,304808435,0,23446803,69.231,0,93787211,20003000000,5000000000,160028000000,23446803,40006000000,64.286,0,23446803,0,51770541152,0,0,0,0,0,12.5
"void csrMmt_hyb_core<float, int=3, int=5>(float, float, float const *, float const *, float const *, int const *, int const *, float const *, float*, int, int, int, int, int, int, bool)",30,19035973,32,3496,0,83.719,0,77750922,0,768237799,38.754,0,87407871,64148000000,440000000,221004000000,313053,525000000,38.797,58.628,393088951,0,4274879373,6884572,42220677,0,283895000000,46292000000,29.026
"void kernelTransformReduceInnermostDimIndex<long, long, MaxValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",60,392999609,16,8704,0,49.167,0,11723790,0,0,25,1.635,13188987,954000000,0,1073000000,388,0,25.001,68.636,0,0,468946048,80,30,0,0,0,88.888
"void kernelTransformReduceInnermostDimIndex<long, long, MinValuePair<long, long>>(long*, long*, long*, unsigned int, unsigned int, thrust::pair<long, long>, long)",60,393010346,16,8704,0,48.334,0,11723790,0,0,25,1.635,13189147,953000000,0,1073000000,388,0,25.001,68.636,0,0,468946048,80,30,0,0,0,88.888
