==101352== NVPROF is profiling process 101352, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==101352== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==101352== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-backprop
==101352== Profiling result:
==101352== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void kernelPointwiseApply3<ThresholdUpdateGradInput<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<ThresholdUpdateGradInput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
          1                  l2_tex_read_transactions               L2 Transactions (Texture Reads)           1           1           1
          1                 l2_tex_write_transactions              L2 Transactions (Texture Writes)           1           1           1
          1                  shared_load_transactions                      Shared Load Transactions           0           0           0
          1                 shared_store_transactions                     Shared Store Transactions           0           0           0
          1                        tex_cache_hit_rate                        Unified Cache Hit Rate       0.00%       0.00%       0.00%
          1                    tex_cache_transactions                    Unified Cache Transactions           1           1           1
    Kernel: void calc_bias_diff<int=2, float, float, int=128, int=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float*, float, float, int)
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)      634790      634790      634790
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                       FP Instructions(Double)           0           0           0
          1                                inst_fp_32                       FP Instructions(Single)      634809      634809      634809
          1                                inst_fp_16                         HP Instructions(Half)           0           0           0
          1                              inst_integer                          Integer Instructions     4020324     4020324     4020324
          1                  gld_requested_throughput              Requested Global Load Throughput  33.052GB/s  33.052GB/s  33.052GB/s
          1                  gst_requested_throughput             Requested Global Store Throughput  1.0169MB/s  1.0169MB/s  1.0169MB/s
          1                    shared_load_throughput                 Shared Memory Load Throughput  260.33MB/s  260.33MB/s  260.33MB/s
          1                   shared_store_throughput                Shared Memory Store Throughput  390.50MB/s  390.50MB/s  390.50MB/s
          1                            gld_efficiency                 Global Memory Load Efficiency      82.13%      82.13%      82.13%
          1                            gld_throughput                        Global Load Throughput  40.241GB/s  40.241GB/s  40.241GB/s
          1                            gst_efficiency                Global Memory Store Efficiency      12.50%      12.50%      12.50%
          1                            gst_throughput                       Global Store Throughput  8.1354MB/s  8.1354MB/s  8.1354MB/s
          1                         shared_efficiency                      Shared Memory Efficiency      59.69%      59.69%      59.69%
          1                           global_hit_rate             Global Hit Rate in unified l1/tex      48.60%      48.60%      48.60%
          1                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          1                  l2_tex_read_transactions               L2 Transactions (Texture Reads)       96238       96238       96238
          1                 l2_tex_write_transactions              L2 Transactions (Texture Writes)          19          19          19
          1                  shared_load_transactions                      Shared Load Transactions         152         152         152
          1                 shared_store_transactions                     Shared Store Transactions         228         228         228
          1                        tex_cache_hit_rate                        Unified Cache Hit Rate      48.60%      48.60%      48.60%
          1                    tex_cache_transactions                    Unified Cache Transactions       79078       79078       79078
